REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMINDAUTBOI,2028,99999.0
RE1,DEMINDAUTBOI,2029,99999.0
RE1,DEMINDAUTBOI,2030,99999.0
RE1,DEMINDAUTBOI,2031,99999.0
RE1,DEMINDAUTBOI,2032,99999.0
RE1,DEMINDAUTBOI,2033,99999.0
RE1,DEMINDAUTBOI,2034,99999.0
RE1,DEMINDAUTBOI,2035,99999.0
RE1,DEMINDAUTBOI,2036,99999.0
RE1,DEMINDAUTBOI,2037,99999.0
RE1,DEMINDAUTBOI,2038,99999.0
RE1,DEMINDAUTBOI,2039,99999.0
RE1,DEMINDAUTBOI,2040,99999.0
RE1,DEMINDAUTBOI,2041,99999.0
RE1,DEMINDAUTBOI,2042,99999.0
RE1,DEMINDAUTBOI,2043,99999.0
RE1,DEMINDAUTBOI,2044,99999.0
RE1,DEMINDAUTBOI,2045,99999.0
RE1,DEMINDAUTBOI,2046,99999.0
RE1,DEMINDAUTBOI,2047,99999.0
RE1,DEMINDAUTBOI,2048,99999.0
RE1,DEMINDAUTBOI,2049,99999.0
RE1,DEMINDAUTBOI,2050,99999.0
RE1,DEMINDAUTBOI,2051,99999.0
RE1,DEMINDAUTBOI,2052,99999.0
RE1,DEMINDAUTBOI,2053,99999.0
RE1,DEMINDAUTBOI,2054,99999.0
RE1,DEMINDAUTBOI,2055,99999.0
RE1,DEMINDAUTFUR,2022,99999.0
RE1,DEMINDAUTFUR,2023,99999.0
RE1,DEMINDAUTFUR,2024,99999.0
RE1,DEMINDAUTFUR,2025,99999.0
RE1,DEMINDAUTFUR,2026,99999.0
RE1,DEMINDAUTFUR,2027,99999.0
RE1,DEMINDAUTFUR,2028,99999.0
RE1,DEMINDAUTFUR,2029,99999.0
RE1,DEMINDAUTFUR,2030,99999.0
RE1,DEMINDAUTFUR,2031,99999.0
RE1,DEMINDAUTFUR,2032,99999.0
RE1,DEMINDAUTFUR,2033,99999.0
RE1,DEMINDAUTFUR,2034,99999.0
RE1,DEMINDAUTFUR,2035,99999.0
RE1,DEMINDAUTFUR,2036,99999.0
RE1,DEMINDAUTFUR,2037,99999.0
RE1,DEMINDAUTFUR,2038,99999.0
RE1,DEMINDAUTFUR,2039,99999.0
RE1,DEMINDAUTFUR,2040,99999.0
RE1,DEMINDAUTFUR,2041,99999.0
RE1,DEMINDAUTFUR,2042,99999.0
RE1,DEMINDAUTFUR,2043,99999.0
RE1,DEMINDAUTFUR,2044,99999.0
RE1,DEMINDAUTFUR,2045,99999.0
RE1,DEMINDAUTFUR,2046,99999.0
RE1,DEMINDAUTFUR,2047,99999.0
RE1,DEMINDAUTFUR,2048,99999.0
RE1,DEMINDAUTFUR,2049,99999.0
RE1,DEMINDAUTFUR,2050,99999.0
RE1,DEMINDAUTFUR,2051,99999.0
RE1,DEMINDAUTFUR,2052,99999.0
RE1,DEMINDAUTFUR,2053,99999.0
RE1,DEMINDAUTFUR,2054,99999.0
RE1,DEMINDAUTFUR,2055,99999.0
RE1,DEMINDBAGBOI_HIG,2022,99999.0
RE1,DEMINDBAGBOI_HIG,2023,99999.0
RE1,DEMINDBAGBOI_HIG,2024,99999.0
RE1,DEMINDBAGBOI_HIG,2025,99999.0
RE1,DEMINDBAGBOI_HIG,2026,99999.0
RE1,DEMINDBAGBOI_HIG,2027,99999.0
RE1,DEMINDBAGBOI_HIG,2028,99999.0
RE1,DEMINDBAGBOI_HIG,2029,99999.0
