REGION,TECHNOLOGY,VALUE
RE1,MINWAS_ORG,99999.0
RE1,MINWOO,99999.0
RE1,PWRAFR,99999.0
RE1,PWRBGS,99999.0
RE1,PWRCOA,99999.0
RE1,PWRCOACCS,99999.0
RE1,PWRCSP,99999.0
RE1,PWRDSL,99999.0
RE1,PWRFOL,99999.0
RE1,PWRGEO,99999.0
RE1,PWRHYDDAM,99999.0
RE1,PWRHYDROR,99999.0
RE1,PWRHYDROR_NDC,99999.0
RE1,PWRJET,99999.0
RE1,PWRLPG,99999.0
RE1,PWRNGSCCS,99999.0
RE1,PWRNGS_CC,99999.0
RE1,PWRNGS_CS,99999.0
RE1,PWRNUC,99999.0
RE1,PWRSOLRTP,99999.0
RE1,PWRSOLRTP_ZNI,99999.0
RE1,PWRSOLUGE,99999.0
RE1,PWRSOLUGE_BAT,99999.0
RE1,PWRSOLUPE,99999.0
RE1,PWRSTD,99999.0
RE1,PWRWNDOFS_FIX,99999.0
RE1,PWRWNDOFS_FLO,99999.0
RE1,PWRWNDONS,99999.0
RE1,UPSALK,99999.0
RE1,UPSBDB,99999.0
RE1,UPSBDL,99999.0
RE1,UPSBET,99999.0
RE1,UPSBGB,99999.0
RE1,UPSBGS,99999.0
RE1,UPSBJS,99999.0
RE1,UPSBMET,99999.0
RE1,UPSBMETL,99999.0
RE1,UPSEVC,99999.0
RE1,UPSEV_FC,99999.0
RE1,UPSHDGRST,99999.0
RE1,UPSPEM,99999.0
RE1,UPSREF_BAR,99999.0
RE1,UPSREF_CAR,99999.0
RE1,UPSREG,99999.0
RE1,UPSSAF,99999.0
RE1,UPSSMR,99999.0
RE1,UPSSMRCCS,99999.0
